,ability,mean_error,grade
20170073034,0.664662778377533,0.839378238341969,7.8
11412497,0.561360776424408,1.1191709844559588,5.2
20170193355,0.6130421161651611,1.119170984455959,6.1
20170018097,0.47973018884658813,1.119170984455959,6.3
20170017787,0.4371104836463928,1.119170984455959,4
20180161856,0.6105402112007141,0.9326424870466324,6
20170200235,0.4488159418106079,1.585492227979275,3.3
20170058655,0.7203308939933777,0.27979274611398974,9.5
20170102270,0.5770854949951172,1.6787564766839385,5.5
20170110227,0.5094407796859741,0.6528497409326427,8.5
20170018936,0.6064085960388184,0.6528497409326427,8.7
20160841702,0.5672771334648132,1.0259067357512959,6.8
20170027630,0.5042660236358643,1.0259067357512959,6
20170141214,0.7674633860588074,0.27979274611398974,9.2
20170019512,0.562727153301239,1.3056994818652856,4
20170024479,0.4228852391242981,1.3989637305699485,4.1
20170112348,0.3927842974662781,1.3989637305699487,5.5
20190109324,0.656731903553009,0.5595854922279795,8.6
20170101451,0.6762428283691406,0.37305699481865295,8.8
20170203827,0.5741876363754272,0.9326424870466324,6.6
20170024290,0.5150296688079834,0.7461139896373059,7
20170022077,0.49011966586112976,0.9326424870466324,6.2
20170061679,0.3712835907936096,1.7720207253886016,4
2016090227,0.5374845862388611,0.8393782383419692,7.3
20170157420,0.517284631729126,1.212435233160622,5.6
20170016539,0.5090830326080322,1.212435233160622,6.6
20170015291,0.6341059803962708,0.5595854922279795,8.8
20170027158,0.5393353700637817,1.678756476683938,5
20170110183,0.6904167532920837,0.2797927461139897,9.2
2016093381,0.40565288066864014,1.6787564766839385,4
20170008410,0.6645088195800781,0.5595854922279795,8.7
20170059376,0.6816956400871277,0.6528497409326427,8.8
20170141994,0.5494346022605896,0.7461139896373059,6.5
20170071559,0.6361919641494751,1.119170984455959,5.1
20160121307,0.4761567711830139,1.3056994818652854,6.5
20170164380,0.3828762471675873,1.3056994818652854,5.5
