,ability,mean_error,grade
20180047593,0.33512088656425476,2.416252072968491,0
20180071150,0.6873875856399536,0.31177446102819234,9.2
20180124674,0.4466169476509094,0.7794361525704809,7.4
20180133717,0.35621020197868347,1.6368159203980097,1.3
20180036437,0.43865966796875,1.714759535655058,2.5
20180035977,0.5222851037979126,0.8573797678275289,6.2
20180018671,0.5375449657440186,0.7794361525704808,7.2
20190176594,0.6150034666061401,0.38971807628524047,8
20180021597,0.5136452317237854,1.2470978441127696,3.7
11500456,0.4845777153968811,0.7794361525704808,6
20180024991,0.8204496502876282,0.07794361525704809,9.9
20180036277,0.7372158169746399,0.38971807628524047,9.3
20180030470,0.7763481140136719,0.3117744610281924,9
20180036132,0.33326080441474915,2.0265339966832503,1
20180039377,0.7171605229377747,0.3117744610281924,9
20170026858,0.4344336986541748,1.63681592039801,2
20180112931,0.7644791007041931,0.23383084577114427,9.3
20180132219,0.5564349889755249,0.8573797678275291,4.8
20180035832,0.7905750870704651,0.2338308457711443,8.5
20180131516,0.6213254332542419,0.6235489220563847,7.5
20180038754,0.7311306595802307,0.3117744610281924,8.8
20160155708,0.3987433910369873,1.714759535655058,4.5
11017241,0.4010789394378662,1.8706467661691542,2
20170173791,0.7755890488624573,0.2338308457711443,9.5
20160157990,0.47869765758514404,1.3250414593698177,4
20170157822,0.5157691240310669,1.0132669983416251,6
20170024399,0.6284200549125671,0.46766169154228854,6.8
20170161173,0.6062827110290527,0.8573797678275291,9.1
20180098000,0.33191415667533875,1.7147595356550578,2
20170111583,0.57973712682724,0.7014925373134328,7.3
2017032470,0.4881817102432251,0.9353233830845771,5.7
20180037917,0.5071151852607727,1.2470978441127694,7.4
20180102238,0.42503124475479126,2.0265339966832503,1.8
20180035430,0.5196895003318787,1.0132669983416251,5
20180039770,0.6505060195922852,0.5456053067993366,7.5
20170008072,0.471682608127594,2.0265339966832503,2
20180034817,0.6188399195671082,0.3897180762852404,8.2
20180064979,0.49797144532203674,1.4029850746268655,5.3
20170156164,0.47589311003685,1.63681592039801,3.3
20180034657,0.6115049123764038,0.7794361525704809,4
20170132538,0.460841566324234,1.4029850746268657,3.3
20190074093,0.6664982438087463,0.46766169154228854,8.3
20170166812,0.3496515452861786,2.104477611940298,1.5
20170129523,0.5626220703125,0.935323383084577,7
20170012816,0.557219386100769,1.4029850746268657,5.3
20170168970,0.5169989466667175,0.8573797678275289,7.1
20180043852,0.8838630318641663,0.0,10
