,ability,mean_error,grade
20170028656,0.3501112759113312,0.962962962962963,8
20170025190,0.3735074996948242,1.123456790123457,9
11410024,0.4284464418888092,2.08641975308642,7
20160110116,0.1493169665336609,2.728395061728395,5.3
20170014230,0.49453189969062805,0.8024691358024691,8
20170027837,0.6268079876899719,0.4814814814814815,8.5
20170024512,0.37033650279045105,0.9629629629629631,8.7
20170025995,0.6330059170722961,0.32098765432098764,9
20170040534,0.3830982744693756,0.962962962962963,8.5
20170021412,0.41150158643722534,0.9629629629629631,9.8
20160120328,0.7944093942642212,0.16049382716049382,9
20160127641,0.3717814087867737,1.123456790123457,7.7
20170111402,0.40240365266799927,0.962962962962963,9
20170047811,0.6317771673202515,1.123456790123457,7
20170028610,0.4196373522281647,1.7654320987654324,8
20170065874,0.6483181118965149,0.0,10
20170035650,0.5372892618179321,0.32098765432098764,9.3
20170066559,0.7837157249450684,1.6049382716049383,8.5
20160118867,0.5481173396110535,1.2839506172839508,7.7
11411457,0.38134706020355225,3.530864197530865,2.5
20170016010,0.6869257688522339,0.0,10
2016098252,0.16897691786289215,3.370370370370371,2
20160116343,0.5600593686103821,0.8024691358024691,7
20170044551,0.6364076733589172,0.0,10
2016086108,0.21251872181892395,2.567901234567901,5.5
20170023097,0.7044755816459656,0.0,10
20170111304,0.5245268940925598,0.962962962962963,7.5
20160130567,0.46606895327568054,0.4814814814814815,9.3
20170027238,0.5301198363304138,0.16049382716049382,9.8
20170024577,0.515372633934021,0.4814814814814815,9.5
20170021459,0.4719765782356262,1.2839506172839508,7.5
20170079397,0.6141625642776489,0.16049382716049382,9.8
20170116230,0.2432599663734436,1.7654320987654324,6
20170025215,0.6311284303665161,0.0,10
20170033010,0.6508342027664185,0.32098765432098764,9
20160127481,0.45479616522789,1.4444444444444446,8
2016098353,0.6354387402534485,0.0,10
11504565,0.3954090476036072,0.8024691358024691,8.2
20170019817,0.6725456714630127,0.0,10
20170061893,0.46469226479530334,0.4814814814814815,9
20170019352,0.3229219615459442,0.16049382716049382,9
2016059728,0.16080242395401,2.728395061728395,4.8
20170019138,0.6449435353279114,0.0,10
20170033790,0.6615071892738342,0.0,10
2016088523,0.49107855558395386,1.6049382716049387,6.5
20170042978,0.8488895893096924,1.6049382716049387,7
20170042735,0.6291020512580872,0.6419753086419753,8.8
20160124926,0.8341856002807617,0.32098765432098764,9
2016001684,0.25150829553604126,1.4444444444444444,4
20160129744,0.19861283898353577,2.7283950617283956,5.5
2016081854,0.30322596430778503,0.962962962962963,7.5
2016067640,0.26201802492141724,1.4444444444444444,4
